x,y
1.99337678125,-15.001665416666667
1.9948140883709837,-14.998661577749552
1.9962513954919676,-14.995657738832437
1.9976887026129515,-14.992653899915323
1.9991260097339354,-14.989650060998208
2.0005633168549193,-14.986646222081095
2.002000623975903,-14.98364238316398
2.003437931096887,-14.980638544246865
2.005376950700429,-14.977931312639285
2.007315970303971,-14.975224081031705
2.009254989907513,-14.972516849424125
2.011194009511055,-14.969809617816544
2.0131330291145972,-14.967102386208964
2.0150720487181393,-14.964395154601384
2.0171011376323356,-14.961754757249036
2.0191302265465323,-14.959114359896688
2.021159315460729,-14.95647396254434
2.0231884043749258,-14.953833565191992
2.0252174932891225,-14.951193167839644
2.0272465822033188,-14.948552770487296
2.0293577532062734,-14.945977531275828
2.031468924209228,-14.94340229206436
2.0335800952121827,-14.94082705285289
2.0356912662151374,-14.938251813641422
2.037802437218092,-14.935676574429953
2.0399136082210467,-14.933101335218485
2.0421065541742993,-14.930595364738588
2.044299500127552,-14.928089394258691
2.0464924460808045,-14.925583423778795
2.048685392034057,-14.923077453298898
2.0508783379873092,-14.920571482819001
2.0530712839405614,-14.918065512339105
2.055345737160698,-14.915633278273598
2.0576201903808347,-14.91320104420809
2.0598946436009715,-14.910768810142583
2.0621690968211084,-14.908336576077078
2.0644435500412452,-14.90590434201157
2.066718003261382,-14.903472107946065
2.069073274149179,-14.901118047826804
2.0714285450369756,-14.898763987707543
2.0737838159247723,-14.896409927588282
2.076139086812569,-14.89405586746902
2.0784943577003663,-14.89170180734976
2.080849628588163,-14.889347747230499
2.083284535311532,-14.887076155443118
2.0857194420349012,-14.884804563655738
2.0881543487582706,-14.882532971868358
2.09058925548164,-14.880261380080977
2.093024162205009,-14.877989788293597
2.095524979261411,-14.87579096723439
2.0980257963178124,-14.873592146175184
2.100526613374214,-14.871393325115978
2.1030274304306156,-14.869194504056772
2.105528247487017,-14.866995682997565
2.1080290645434183,-14.864796861938357
2.1106043291738614,-14.862685721942244
2.1131795938043045,-14.86057458194613
2.1157548584347476,-14.858463441950017
2.118330123065191,-14.856352301953903
2.1209053876956347,-14.854241161957791
2.1235426825867694,-14.852208042271892
2.126179977477904,-14.850174922585992
2.1288172723690386,-14.848141802900093
2.1314545672601732,-14.846108683214192
2.134091862151308,-14.844075563528293
2.1367291570424425,-14.842042443842391
2.1394352902355442,-14.840101891565025
2.142141423428646,-14.838161339287659
2.1448475566217478,-14.836220787010292
2.1475536898148495,-14.834280234732926
2.150259823007951,-14.83233968245556
2.1530225218971126,-14.830480544255257
2.1557852207862744,-14.828621406054955
2.158547919675436,-14.826762267854653
2.161310618564597,-14.82490312965435
2.1640733174537585,-14.823043991454048
2.16683601634292,-14.821184853253744
2.1696608567090596,-14.819421567427275
2.1724856970751993,-14.817658281600806
2.175310537441339,-14.815894995774336
2.178135377807479,-14.814131709947867
2.180960218173618,-14.812368424121397
2.183835010391863,-14.810687808251568
2.186709802610108,-14.80900719238174
2.189584594828353,-14.807326576511912
2.1924593870465983,-14.805645960642083
2.1953341792648433,-14.803965344772255
2.1982089714830884,-14.802284728902427
2.2011384315822107,-14.800701326386434
2.204067891681333,-14.799117923870442
2.2069973517804553,-14.79753452135445
2.2099268118795776,-14.795951118838458
2.2128562719787,-14.794367716322466
2.215828424556274,-14.792865980974403
2.2188005771338477,-14.79136424562634
2.2217727297114216,-14.789862510278278
2.224744882288996,-14.788360774930215
2.2277170348665702,-14.786859039582152
2.2307285702648043,-14.785437929260896
2.2337401056630384,-14.784016818939639
2.2367516410612724,-14.782595708618382
2.2397631764595065,-14.781174598297126
2.24277471185774,-14.779753487975869
2.2457862472559738,-14.77833237765461
2.248840461275155,-14.777005472712636
2.251894675294336,-14.775678567770662
2.2549488893135172,-14.774351662828687
2.2580031033326984,-14.773024757886711
2.2610573173518795,-14.771697852944737
2.2641442038711426,-14.770448840688115
2.2672310903904056,-14.769199828431493
2.270317976909668,-14.76795081617487
2.2734048634289308,-14.766701803918247
2.276491749948194,-14.765452791661625
2.279608246028706,-14.764279611291796
2.282724742109218,-14.763106430921967
2.28584123818973,-14.761933250552138
